Locus tag,Ortholog group,Genome count calc,Reference (PMID),Curated Product Descriptor,Gene,Gene Aliases,Functional role,regulon,cofactor,substrate,Regulator family,Merops family,CAZY,TC family,E.C.,evolution,Genome count calc,Loc Sys,Loc Cleave,protein localization,7002,6803
7002_A0501,cyan1752,11,,type IV pilus assembly protein PilM,pilM,,T2bSS secretion: type IVa pili,,,,,,,,,core,2,,,cyt-IM assoc,7002_A0501,slr1274
7002_A0502,cyan1753,11,,type IV pilus assembly protein PilN,pilN,,T2bSS secretion: type IVa pili,,,,,,,,,core,2,Sec,,IM 1 TM,7002_A0502,slr1275
7002_A0503,cyan1754,11,,type IV pilus assembly protein PilO,pilO,,T2bSS secretion: type IVa pili,,,,,,,,,core,2,Sec,,IM 1 TM,7002_A0503,slr1276
7002_A0504,cyan1755,11,,type IV pilus secretin PilQ,pilQ,,T2bSS secretion: type IVa pili,,,,,,,,,core,2,Sec Bam,LepB,OM,7002_A0504,slr1277
7002_A0505,cyan5017,3,,"putative transposase, IS200-like",,,,,,,,,,,,,1,,,cyt,7002_A0505,
7002_A0506,cyan10543,1,,haloacid dehalogenase-like hydrolase,,,,,,,,,,,,,1,,,cyt,7002_A0506,
7002_A0507,cyan0393,14,,16S rRNA (cytosine967-C5)-methyltransferase RsmB ,rsmB,,rRNA modication - 16S,,,,,,,,2.1.1.176,core,2,,,cyt,7002_A0507,slr0679
7002_A0508,cyan3793,9,,nicotinate phosphoribosyltransferase PcnB,pncB,,Cofactor NAD salvage,NrtR,,,,,,,2.4.2.11,,1,,,cyt,7002_A0508,
7002_A0509,cyan4674,5,,metallo-beta-lactamase domain protein,,,,,4Fe-4S,,,,,,,,1,,,cyt,7002_A0509,
7002_A0510,cyan10544,1,,hypothetical protein,,,,,,,,,,,,,1,Sec,,IM 1 TM,7002_A0510,
7002_A0511,cyan1326,11,,histidinol-phosphate aminotransferase HisC,hisC,,AA synth: Phe & Tyr,,,,,,,,2.6.1.9,core,2,,,cyt,7002_A0511,sll1958
7002_A0512,cyan2364,14,,aspartate aminotransferase AspC,aspC,,AA synth,,,,,,,,2.6.1.1,core,2,,,cyt,7002_A0512,sll0402
7002_A0513,cyan2780,14,,septum site-determining protein MinC,minC,,Cell division,,,,,,,,,core,2,,,cyt,7002_A0513,sll0288
7002_A0514,cyan2779,14,,septum site-determining protein MinD,minD,,Cell division,,,,,,,,,core,2,,,cyt,7002_A0514,sll0289
7002_A0515,cyan2778,14,,cell division topological specificity factor MinE,minE,,Cell division,,,,,,,,,core,2,,,cyt,7002_A0515,ssl0546
7002_A0516,cyan0300,7,,hypothetical protein,,,,,,,,,,,,,2,Sec,,IM 3 TM,7002_A0516,slr0962
7002_A0517,cyan2260,14,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase IspH,ispH,,Isoprenoid synth,,,,,,,,1.17.1.2,core,2,,,cyt,7002_A0517,slr0348
7002_A0518,cyan0793,14,,protein of unknown function DUF98 YCF21,ycf21,,,,,,,,,,,core,2,,,cyt,7002_A0518,sll1797
7002_A0518.1,cyan1994,14,,30S ribosomal protein S16 RpsP,rpsP,,Ribosome: SSU,,,,,,,,,core,2,,,cyt,7002_A0518.1,ssr0482
7002_A0519,cyan1995,11,,KH domain RNA binding protein YlqC,ylqC,,,,,,,,,,,core,2,,,cyt,7002_A0519,slr0287
7002_A0520,cyan2119,14,,GTP-binding protein Era,era,,Ribosome biogenesis,,,,,,,,,core,2,,,cyt,7002_A0520,slr0321
7002_A0521,cyan10545,1,16815953,"integral membrane phosphatidylglycerophosphatase, PgpB",pgpB,,phosphatidylglycerol biosynthesis,,,,,,,,3.1.3.27,,1,Sec,,IM 6 TM,7002_A0521,
7002_A0522,cyan2402,6,,"cytoplasmic Zn-dependent peptidase, Prp3",prp3,pqqL,Proteolysis,,,,,M16,,,,,2,,,cyt,7002_A0522,sll0055
7002_A0523,cyan10546,1,,methyltransferase-like protein,,,,,,,,,,,,,1,,,cyt,7002_A0523,
7002_A0524,cyan10547,1,,hypothetical protein,,,,,,,,,,,,,1,Sec,,IM 4 TM,7002_A0524,
7002_A0525,cyan1486,14,,beta-ketoacyl-acyl carrier protein synthase III FabH,fabH,,Fatty Acid Biosynthesis FASII,,,,,,,,2.3.1.41,core,2,,,cyt,7002_A0525,slr1511
7002_A0526,cyan1485,14,,glycerol-3-phosphate acyltransferase PlsX,plsX,,Glycerolipid and Glycerophospholipid Metabolism,,,,,,,,2.3.1.15,core,2,,,cyt,7002_A0526,slr1510
7002_A0527,cyan1739,11,,D-alanyl-D-alanine carboxypeptidase DacB,dacB,,Peptidoglycan modification,,,,,S13,,,3.4.16.4,core,2,Sec,LepB,peri,7002_A0527,sll1369
7002_A0528,cyan1714,10,,precorrin isomerase precorrin-8X methylmutase CbiC2,cbiC2,cobH,Cofactor B12 synth: aerobic?,,,,,,,,5.4.1.2,,2,,,cyt,7002_A0528,slr1467
7002_A0529,cyan1881,14,,"carotene 7,8-desaturase CrtQ",crtQ,,Carotenoid biosynthesis,,FAD,,,,,,1.-.-.-,core,2,,,cyt-TM assoc,7002_A0529,slr0940
7002_A0530,cyan0394,9,,conserved hypothetical protein,,,,,,,,,,,,core,2,,,cyt,7002_A0530,slr0680
7002_A0531,cyan0960,14,,ATP-dependent DNA helicase II PcrA,pcrA,uvrD,DNA Repair,,ATP,,,,,,,core,2,,,cyt,7002_A0531,sll1143
7002_A0532,DUF820,1,,putative endonuclease DUF820 family,,,Genome evolution?,,,,,,,,,,1,,,cyt,7002_A0532,
7002_A0533,cyan1730,14,,glycosyl transferase family 2,,,Polysaccharide synth,,,,,,,,,core,2,Sec,,IM 4 TM,7002_A0533,sll1377
7002_A0534,cyan10548,1,,major facilitator transporter,,,Transport export:carbohydrate?,,,,,,,,,,1,Sec,,IM 12 TM,7002_A0534,
7002_A0535,cyan10549,1,,hypothetical protein,,,O-antigen synthesis,,,,,,,,,,1,,,cyt,7002_A0535,
7002_A0536,cyan10550,1,,hypothetical protein,,,O-antigen synthesis,,,,,,,,,,1,,,cyt,7002_A0536,
7002_A0537,cyan10551,1,,hypothetical protein,,,O-antigen synthesis,,,,,,,,,,1,,,cyt,7002_A0537,
7002_A0538,cyan10552,1,,"O-antigen ligase, Wzy",wzy,,O-antigen synthesis,,,,,,,9.B.67,,,1,Sec,,IM 12 TM,7002_A0538,
7002_A0539,cyan3602,3,,"L-seryl-tRNA(Sec) kinase, PstK",pstK,,Selenocysteine metabolism,,,,,,,,,pSYSA,2,,,cyt,7002_A0539,slr7095
7002_A0540,cyan0248,13,21292744,membrane protein with DnaJ domain,,,Chaperone,,,,,,,,,core,2,Sec,,IM 1 TM,7002_A0540,sll1666
7002_A0541,cyan2185,11,,protein of unknown function DUF721,,,DNA replication,,,,,,,,,core,2,,,cyt,7002_A0541,slr0363
7002_A0542,cyan0989,8,,conserved hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0542,ssr2062
7002_A0543,cyan0973,8,,hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0543,ssr2047
7002_A0544,cyan10553,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0544,
7002_A0545,cyan0514,14,18044966,monothiol glutaredoxin Grx4 family Ycf64,ycf64,,Glutathione:Redox cycle,,FeS,,,,,,,core,2,,,cyt,7002_A0545,slr1846
7002_A0546,cyan0513,14,,BolA family protein,,,Stress response,,,,,,,,,core,2,,,cyt,7002_A0546,ssr3122
7002_A0547,cyan1276,14,,orotidine 5'-phosphate decarboxylase PyrF,pyrF,,De Novo Pyrimidine Synthesis,,,,,,,,4.1.1.23,core,2,,,cyt,7002_A0547,sll0838
7002_A0548,cyan2385,14,,chlorophyll a synthase ChlG,chlG,,Chlorophyll Biosynthesis,,,,,,,,2.5.1.62,core,2,Sec,,IM 8 TM,7002_A0548,slr0056
7002_A0549,cyan2599,14,,PHP family metal-dependent phosphoesterase,,,,,,,,,,,,core,2,,,cyt,7002_A0549,sll0549
7002_A0550,cyan2232,14,,amidophosphoribosyltransferase PurF,purF,,De Novo Purine Biosynthesis,,,,,C44,,,2.4.2.14,core,2,,,cyt,7002_A0550,sll0757
7002_A0551,cyan10554,1,,"peptidase, M48 family",,,Proteolysis,,,,,M48,,,,,1,,,cyt,7002_A0551,
7002_A0552,cyan10555,1,,"2,3-diketo-5-methylthio-1-phosphopentane phosphatase, MtnC",mtnC,,Methionine Salvage,,,,,,,,3.1.3.77,,1,,,cyt,7002_A0552,
7002_A0553,cyan4201,4,,"methionine salvage pathway protein E-2/E-2'', MtnD",mtnD,,Methionine Salvage,,,,,,,,1.13.11.54,,1,,,cyt,7002_A0553,
7002_A0554,cyan4410,3,,"methylthioribulose 1-phosphate dehydratase, MtnB",mtnB,,Methionine Salvage,,,,,,,,4.2.1.109,,1,,,cyt,7002_A0554,
7002_A0555,cyan0687,12,,hypothetical protein,,,,,,,,,,,,core,2,Sec,,IM 2 TM,7002_A0555,sll1926
7002_A0556,cyan0847,14,,"anti-sigma regulatory factor (Ser/Thr protein kinase), essential for photomixotrophic growth PmgA",pmgA,,Sensory transduction,,,,,,,,2.7.11.1,core,2,,,cyt,7002_A0556,sll1968
7002_A0557,cyan0848,11,, 23S rRNA (uracil1939-C5)-methyltransferase RumA,rumA,,rRNA modifcation - 23S,,,,,,,,,core,2,,,cyt,7002_A0557,sll1967
7002_A0558,cyan2236,14,19820102,thioredoxin-dependent peroxidase 2-cys family,,,Oxidative stress,,,,,,,,,core,2,,,cyt,7002_A0558,sll0755
7002_A0559,cyan0524,9,,"O-linked glycosylase, PMT family",,,,,,,,,,,,core,2,Sec,,IM 11 TM,7002_A0559,sll1946
7002_A0560,cyan1596,12,,proton-translocating NADH-quinone dehydrogenase subunit NdhL,ndhL,,CO2 fixation: Respiratory Complex I,,,,,,,,1.6.5.3,core,2,Sec,,TM 2 TM,7002_A0560,ssr1386
7002_A0561,cyan10556,11,,protein of unknown function DUF3007,,,,,,,,,,,,,1,Sec,,IM 2 TM,7002_A0561,
7002_A0562,cyan0304a,14,,tryptophan synthase alpha subunit TrpA,trpA,,AA synth: Trp,,,,,,,,4.2.1.20,core,2,,,cyt,7002_A0562,slr0966
7002_A0563,cyan2068,7,,voltage-gated chloride channel protein,,,"Transport|uptake:CO2, carboxysome???",,,,,,,2.A.49.6,,,2,Sec,,IM 10 TM,7002_A0563,sll1864
7002_A0564,cyan2597,14,18413314,bifunctional protein disulfide isomerase / oxidoreductase DsbAB,dsbAB,,,,,,,,,,,core,2,Sec,,IM 5 TM,7002_A0564,slr0565
7002_A0565,cyan4227,7,,"molybdenum cofactor biosynthesis protein, MoaB",moaB,,Cofactor molybdopterin synth,,,,,,,,,,1,,,cyt,7002_A0565,
7002_A0566,cyan2282,8,,FMN-binding flavin reductase-like domain-containing protein,,,,,FMN,,,,,,,,2,,,cyt,7002_A0566,slr0001
7002_A0567,cyan4908,9,,ATLS1-like light-inducible protein,,,,,,,,,,,,,1,,,cyt,7002_A0567,
7002_A0568,cyan10557,1,,hypothetical protein,,,,,,,,,,,,,1,Sec,LepB,peri,7002_A0568,
7002_A0569,cyan1913,14,,proton-translocating NADH-quinone dehydrogenase subunit M NdhM,ndhM,,CO2 fixation: Respiratory Complex I,,,,,,,,1.6.5.3,core,2,,,cyt-TM assoc,7002_A0569,slr1623
7002_A0570,cyan0134,6,,conserved hypothetical lipoprotein,,,,,,,,,,,,,2,Sec,LspA,LP -IM,7002_A0570,slr0243
7002_A0571,cyan2300,11,,RDD family protein,,,,,,,,,,,,core,2,Sec,,IM 2 TM,7002_A0571,slr0016
7002_A0572,cyan2624,14,,50S ribosomal protein L33 RpmG,rpmG,,Ribosome: LSU,,,,,,,,,core,2,,,cyt,7002_A0572,ssr1398
7002_A0573,cyan2625,14,,30S ribosomal protein S18 RpsR,rpsR,,Ribosome: SSU,,,,,,,,,core,2,,,cyt,7002_A0573,ssr1399
7002_A0574,cyan0641,14,,ribonuclease II Rnb,rnb,,RNA degradation,,,,,,,,3.1.13.1,core,2,,,cyt,7002_A0574,sll1290
7002_A0575,cyan1577,11,,hypothetical protein,,,,,,,,,,,,core,2,,,cyt,7002_A0575,ssr1375
7002_A0576,cyan6640b,2,,"SGNH hydrolase, sialate-O-acetylesterase-like subfamily",,,,,,,,,,,3.1.-.-,,1,Sec Bam,LepB,OM | extra?,7002_A0576,
7002_A0577,cyan2439a,14,19372598,high-affinity Na+(Li+):H+ thylakoid membrane antiporter NhaS3,nhaS3,,Transport antiport:Na:H,,,,,,,2.A.37,,core,2,Sec,,TM 11 TM,7002_A0577,sll0689
7002_A0578,cyan1247,11,,N-acetylmuramoyl-L-alanine amidase AmiA,amiA,,Peptidoglycan turnover,,,,,,,,3.5.1.28,core,2,Sec,LepB,peri,7002_A0578,slr1744
7002_A0579,cyan1248,14,,glutamate racemase MurI,murI,,Peptidoglycan biosynthesis,,,,,,,,5.1.1.3,core,2,,,cyt,7002_A0579,slr1746
7002_A0580,cyan0001,14,,solanesyl diphosphate synthase SdsA,sdsA,sds crtE,Carotenoid biosynthesis,,,,,,,,2.5.1.84,core,2,,,cyt,7002_A0580,slr0611
7002_A0581,cyan0412,11,,protein of unknown function DUF39,,,,,,,,,,,,core,2,,,cyt,7002_A0581,slr0689
7002_A0582,cyan0588,5,10712699,glutamine synthetase inactivating factor IF7 GifA,gifA,,Nitrogen assimiliation - ammonia,NtcA,,,,,,,,,2,,,cyt,7002_A0582,ssl1911
7002_A0583,cyan2413,7,,"gamma-glutamyl phosphate reductase, ProA",proA,,Arg/Pro metabolism,,,,,,,,1.2.1.41,,2,,,cyt,7002_A0583,sll0461
7002_A0584,cyan1079,9,,N-acetylmuramoyl-L-alanine amidase,,,Peptidoglycan turnover,,Zn,,,,,,3.5.1.28,,2,Sec,LepB,peri,7002_A0584,slr0891
7002_A0585,cyan1748a,11,19253332,ABC-type glycolipid export system outer membrane secretin component HgdD,hgdD,tolC,Heterocyst-specific glycolipid layer formation,,,,,,,1.B.17,,core,2,Sec Bam,LepB,OM,7002_A0585,slr1270
7002_A0586,cyan1004,9,,glyoxylase family protein,,,,,,,,,,,,,2,,,cyt,7002_A0586,slr1440
7002_A0587,cyan2050,9,,RND-type export system permease component heavy metal efflux (HME) family Rnd3b,rnd3b,,Transport RND|export,,Cu?,,,,,2.A.6.2,,,2,Sec,,IM 12 TM,7002_A0587,sll0142
7002_A0588,cyan1888,8,,arsenate reductase ArsC,arsC,,Detoxification:arsenate,ArsR,,,,,,,1.20.4.1,,2,,,cyt,7002_A0588,slr0946
7002_A0589,cyan1886,10,12949088,arsenite export permease ArsB,arsB,,Detoxification:arsenate,ArsR,,,,,,2.A.59,,core,2,Sec,,IM 10 TM,7002_A0589,slr0944
7002_A0590,cyan1327,12,,transcriptional regulator of arsenate resistance ArsR,arsR,,Detoxification: arsenate,ArsR,,,ArsR,,,,,core,2,,,cyt,7002_A0590,sll1957
7002_A0591,cyan2051,9,,RND-type export system MFP component Rnd3a,rnd3a,,Transport RND|export,,Cu?,,,,,2.A.6,,,2,Sec,LepB,peri,7002_A0591,sll0141
7002_A0592,cyan1224,14,22961855,Zn-dependent intramembrane protease RseP,rseP,,Proteolysis,,Zn,,,M50,,,,core,2,Sec,,IM 4 TM,7002_A0592,slr1821
7002_A0593,cyan1823,12,,protein of unknown function DUF3493,,,,,,,,,,,,core,2,Sec,,IM 2 TM,7002_A0593,smr0014
7002_A0594,cyan1792,12,,muramoyltetrapeptide carboxypeptidase IdcA,idcA,mccF,Peptidoglycan turnover,,,,,S66,,,3.4.17.13,,2,,,cyt,7002_A0594,slr1534
7002_A0595,cyan2245,14,,triosephosphate isomerase TpiA,tpiA,,Glycolysis and Gluconeogenesis | Calvin-Benson cycle,,,,,,,,5.3.1.1,core,2,,,cyt,7002_A0595,slr0783
7002_A0596,cyan0216,14,,Mg-protoporphyrin IX chelatase ATPase subunit ChlD,chlD,,Chlorophyll Biosynthesis,,ATP,,,,,,6.6.1.1,core,2,,,cyt,7002_A0596,slr1777
7002_A0597,cyan3047,14,,pterin-binding enzyme,,,,,,,,,,,,core,2,,,cyt,7002_A0597,slr0651
7002_A0598,cyan10558,1,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0598,
7002_A0599,cyan2951,14,,arginyl-tRNA synthetase ArgS,argS,,Aminoacyl-tRNA biosynthesis,,,,,,,,6.1.1.19,core,2,,,cyt,7002_A0599,sll0502
7002_A0600,cyan3712,3,,Zn-dependent M48 family protease with chaperone function,,,Proteolysis,,Zn,,,M48,,,,,1,Sec,,IM 1 TM,7002_A0600,
7002_A0601,cyan2018,14,,non-canonical purine NTP pyrophosphatase RdgB,rdgB,,Cofactor folate synth,,,,,,,,,core,2,,,cyt,7002_A0601,slr0402
7002_A0602,cyan0647a,9,18502976,high light-inducible protein HliA,hliA,,Photosystem I assembly,,,,,,,,,,2,Sec,,TM 1 TM,7002_A0602,ssl2542
7002_A0603,cyan0814,3,,homoserine kinase type II,,,AA synth - Met,,,,,,,,2.7.1.39,,2,,,cyt,7002_A0603,sll1119
7002_A0604,cyan1199,14,,protein of unknown function DUF2518 Ycf51,ycf51,,,,,,,,,,,core,2,Sec,,IM 2 TM,7002_A0604,sll1702
7002_A0605,cyan1818,13,,glycerol dehydrogenase iron containing GldA,gldA,,,,,,,,,,1.1.1.6,core,2,,,cyt,7002_A0605,slr1167
7002_A0606,cyan3231,14,,phosphoribosylaminoimidazole carboxylase ATPase subunit PurK,purK,,De Novo Purine Biosynthesis,,ATP,,,,,,4.1.1.21,core,2,,,cyt,7002_A0606,sll0578
7002_A0607,cyan2428,6,,AIG2-like family protein,,,,,,,,,,,,,2,,,cyt,7002_A0607,slr0491
7002_A0608,cyan0226,14,,heat stress-responsive two component signal transduction system response regulator Rre1,rre1,ycf29,Heat shock,,,,LuxR,,,,,core,2,,,cyt-IM assoc,7002_A0608,slr1783
7002_A0609,cyan1494,14,,protein of unknown function DUF3288,,,,,,,,,,,,core,2,,,cyt,7002_A0609,ssr2551
7002_A0610,cyan4776,5,,"bifunctional orotidine 5'-phosphate decarboxylase/orotate phosphoribosyltransferase protein, PyrFE",pyrFE,,De Novo Pyrimidine Synthesis,,,,,,,,2.4.2.10 4.1.1.23,,1,,,cyt,7002_A0610,
7002_A0611,cyan5633c,14,,RND type transport system permease component FtsX family Rnd4b,rnd4b,,Transport RND|export,,,lipid?,,,,3.A.1.122,,core,2,Sec,,IM 4 TM,7002_A0611,slr0594
7002_A0613,cyan3039,10,,helicase SNF2 family,,,DNA Repair,,,,,,,,,,2,,,cyt,7002_A0613,sll1366
7002_A0614,cyan1927,14,,DNA-directed RNA polymerase omega subunit RpoZ,rpoZ,,RNA polymerase,,,,,,,,2.7.7.6,core,2,,,cyt,7002_A0614,ssl2982
7002_A0615,cyan1687,7,,two component signal transduction system response regulator with DUF3685 domain,,,Sensory transduction,,,,,,,,,,2,,,cyt-IM assoc,7002_A0615,sll1879
7002_A0616,cyan2583,6,,ADP-ribose pyrophosphatase FolQ,FolQ,,Cofactor folate synth? FolQ? Regulator NAD metabolism?,,,,,,,,3.6.1.13,,2,,,cyt,7002_A0616,slr0920
7002_A0617,cyan2873,14,,endoribonuclease L-PSP,,,,,,,,,,,,core,2,,,cyt,7002_A0617,slr0709
7002_A0618,cyan2672,10,,"ATP-dependent RNA helicase, DeaD",deaD,,,,ATP,,,,,,,,2,,,cyt,7002_A0618,slr0083
7002_A0619,cyan2671,14,,ribosomal protein S12 methylthiotransferase RimO,rimO,,,,,,,,,,,core,2,,,cyt,7002_A0619,slr0082
7002_A0620,cyan2974,14,,ATP phosphoribosyltransferase catalytic subunit HisG,hisG,,AA synth: Aromatic (his),,,,,,,,2.4.2.17,core,2,,,cyt,7002_A0620,sll0900
7002_A0621,cyan3080,11,,ATP phosphoribosyltransferase regulatory subunit HisZ,hisZ,,AA synth: Aromatic (his),,,,,,,,2.4.2.17,core,2,,,cyt,7002_A0621,slr1560
7002_A0622,cyan1721,11,21292744,TPR repeat domain protein with DnaJ domain,,,Chaperone,,,,,,,,,core,2,,,cyt,7002_A0622,sll1384
7002_A0623,cyan1722,14,,myo-inositol-1-phosphate phosphatase SuhB,suhB,,inositol biosynthesis ,,,,,,,,3.1.3.25,core,2,,,cyt,7002_A0623,sll1383
7002_A0624,cyan1723,14,,2Fe-2S ferredoxin PetF-like,,,Photosynthetic electron Transport,,FeS,,,,,,,core,2,,,cyt-TM assoc,7002_A0624,sll1382
7002_A0626,cyan1892,8,,ABC-type transport system ATPase component,,,Transport,,ATP,,,,,3.A.1,3.6.3.-,,2,,,cyt-IM assoc,7002_A0626,sll0912
7002_A0627,cyan10559,1,,protein of unknown function DUF29,,,,,,,,,,,,,1,,,cyt,7002_A0627,
7002_A0628,cyan8521b,14,,threonyl-tRNA synthetase ThrS,thrS,,Aminoacyl-tRNA biosynthesis,,,,,,,,6.1.1.3,core,2,,,cyt,7002_A0628,sll0078
7002_A0629,cyan10560,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0629,
7002_A0630,cyan2980,14,,Holliday junction resolvase RuvC,ruvC,,DNA replication,,,,,,,,3.1.22.4,core,2,,,cyt,7002_A0630,sll0896
7002_A0631,cyan10561,1,,toxin-antitoxin system toxin PIN family,,,Toxin-antitoxin,,,,,,,,,,1,,,cyt,7002_A0631,
7002_A0632,cyan10562,1,19493340,"toxin-antitoxin system antidote, DNA-binding DUF433 family",,,Toxin-antitoxin,,,,,,,,,,1,,,cyt,7002_A0632,
7002_A0633,cyan10563,2,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0633,
7002_A0634,cyan8225,2,,ABC-type B12/cobalamin uptake system permease component BtuC,btuC,,Cofactor B12 salvage: (B12 Transport),Zur Cob ribosw,B12,,,,,3.A.1.13,,,1,Sec,,IM 8 TM,7002_A0634,
7002_A0635,cyan8224,2,,ABC-type B12/cobalamin uptake system substrate-binding component BtuF,btuF,,Cofactor B12 salvage: (B12 Transport),Zur Cob ribosw,B12,,,,,3.A.1.13,,,1,Sec,LspA,LP -IM,7002_A0635,
7002_A0636,cyan10564,1,,"3',5'-cyclic-nucleotide phosphodiesterase CpdA",cpdA,,cAMP signalling,Cob ribosw,,,,,,,3.1.4.17,,1,,,cyt,7002_A0636,
7002_A0637,cyan8222,4,,TonB-dependent B12/cobalamin receptor BtuB,btuB,,Cofactor B12 salvage: (B12 Transport),Zur Cob ribosw,,,,,,1.B.14,,,1,Sec Bam,LepB,OM,7002_A0637,
7002_A0638,cyan10565,1,,D-alanine--D-alanine ligase c-terminal domain protein,,,Peptidoglycan biosynthesis?,,,,,,,,,,1,,,cyt,7002_A0638,
7002_A0639,cyan10566,1,,phycobilisome rod-core linker protein cpcG,cpcG,,Phycobilisome - phycocyanin/phycoerythrocyanin,,,,,,,,,,1,,,cyt-TM assoc,7002_A0639,
7002_A0640,cyan5687,5,,WD-40-like beta propeller repeat-containing protein,,,,,,,,S09,,,,,1,Sec,LspA,LP -IM,7002_A0640,
7002_A0641,cyan2133,14,17035238,thioredoxin-responsive transcriptional regulator of photosynthesis and carbon fixation PedR,pedR,,CO2 fixation,PedR,,,LuxR,,,,,core,2,,,cyt,7002_A0641,ssl0564
7002_A0642,cyan8759,8,,nicotinamidase PncA,pncA,,Cofactor NAD salvage,NrtR,,,,,,,3.5.1.19,,1,,,cyt,7002_A0642,
7002_A0643,cyan2564b,1,21057026,cyanate hydratase CynS,cynS,,cyanate detoxification:internally generated (by-product of the urea cycle or via the degradation of carbamoyl phosphate),NtcA,,,,,,,4.2.1.104,,1,,,cyt,7002_A0643,
7002_A0644,cyan0238,9,20823222,protoporphyrinogen oxidase HemJ,hemJ,,Prosthetic group heme synth,,,,,,,,,,2,Sec,,IM 5 TM,7002_A0644,slr1790
7002_A0645,cyan0557,5,,conserved hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0645,slr2052
7002_A0646,cyan10569,1,,outer membrane efflux secretin,,,secretin,,,,,,,,,,1,Sec Bam,LepB,OM,7002_A0646,
7002_A0647,cyan2006,9,,protein of unknown function DUF2358,,,,,,,,,,,,core,2,,,cyt,7002_A0647,sll0364
7002_A0648,cyan1789,14,,hydroxyethylthiazole kinase-related YjeF,yjeF,,Cofactor thiamin (B1) synth: HMP precursor? | pyridine repair,,,,,,,,,core,2,,,cyt,7002_A0648,sll1433
7002_A0649,cyan0822,11,,DNA mismatch repair protein MutL,mutL,,DNA Repair,,,,,,,,,core,2,,,cyt,7002_A0649,slr1199
7002_A0650,DUF820,1,,putative endonuclease DUF820 family,,,Genome evolution?,,,,,,,,,,1,,,cyt,7002_A0650,
7002_A0651,cyan10571,1,,hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0651,
7002_A0652,cyan3193,14,,dihydroxy-acid dehydratase IlvD,ilvD,,AA synth: ILV,,,,,,,,4.2.1.9,core,2,,,cyt,7002_A0652,slr0452
7002_A0653,cyan10572,1,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0653,
7002_A0654,cyan0429,8,,small heat shock protein HspA,hspA,,Chaperone,,,,,,,,,,2,,,cyt,7002_A0654,sll1514
7002_A0655,cyan0889,14,,pyruvate dehydrogenase E1 component beta subunit PdhB,pdhB,,Pyruvate metabolism II,,,,,,,,1.2.4.1,core,2,,,cyt,7002_A0655,sll1721
7002_A0656,cyan2218,14,,preprotein translocase subunit SecD,secD,,Transport|export:Sec,,,,,,,2.A.6.4,,core,2,Sec,,IM 6 TM,7002_A0656,slr0774
7002_A0657,cyan2219,14,,preprotein translocase subunit SecF,secF,,Transport|export:Sec,,,,,,,2.A.6.4,,core,2,Sec,,IM 5 TM,7002_A0657,slr0775
7002_A0658,cyan1081,10,,FIG00870315: hypothetical protein,,,,,,,,,,,,,2,Sec,,IM 2 TM,7002_A0658,sll0863
7002_A0659,cyan2839,2,,GAF modulated transcriptional regulator LuxR family,,,Sensory transduction,,,,LuxR,,,,,,2,,,cyt-IM assoc,7002_A0659,sll0782
7002_A0660,cyan1436,4,,HNH endonuclease,,,,,,,,,,,,,2,,,cyt,7002_A0660,slr2080
7002_A0661,cyan7333,3,,conserved hypothetical protein,,,,,,,,,,,,,1,,,cyt,7002_A0661,
7002_A0662,cyan2838,2,,flavin-dependent oxidoreductase MSMEG_0569 family,,,biosynthesis unknown material,NtcA?,FAD,,,,,,,,2,,,cyt,7002_A0662,slr0801
7002_A0663,cyan2837,2,20675451,MSMEG_0572 family protein,,,biosynthesis unknown material,NtcA?,,,,,,,,,2,,,cyt,7002_A0663,sll0783
7002_A0664,cyan2836,2,12902216 23063937,putative nitrilase,,merR,biosynthesis unknown material,NtcA?,,,,,,,3.5.5.7,,2,,,cyt,7002_A0664,sll0784
7002_A0665,cyan2835,2,,radical SAM protein MSMEG_0568 family,,,biosynthesis unknown material,NtcA?,,,,,,,,,2,,,cyt,7002_A0665,sll0785
7002_A0666,cyan2834,2,,putative N-acetyltransferase MSMEG_0567 N-terminal domain family,,,biosynthesis unknown material,NtcA?,,,,,,,,,2,,,cyt,7002_A0666,sll0786
7002_A0667,cyan2833,2,,AIR synthase-related protein,,,biosynthesis unknown material,NtcA?,,,,,,,,,2,,,cyt,7002_A0667,sll0787
7002_A0667.1,cyan2832,2,,MSMEG_0570 family protein,,,biosynthesis unknown material,NtcA?,,,,,,,,,2,,,cyt,7002_A0667.1,ssl1464
7002_A0668,cyan10574,1,,WD-40-like beta propeller repeat-containing protein,,,,,,,,S09,,,,,1,Sec,LspA,LP -IM,7002_A0668,
7002_A0669,cyan2316,9,,hypothetical protein,,,,,,,,,,,,,2,,,cyt,7002_A0669,slr0217
